Data from https://doi.org/10.1002/adma.202008076
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
352.2	1316.56
352.3	1316.77
352.4	1316.98
352.5	1317.2
352.6	1317.41
352.7	1317.62
352.8	1317.83
352.9	1318.04
353	1318.26
353.1	1318.47
353.2	1318.68
353.3	1318.89
353.4	1319.1
353.5	1319.32
353.6	1319.53
353.7	1319.74
353.8	1319.95
353.9	1320.16
354	1320.38
354.1	1320.59
354.2	1320.8
354.3	1321.01
354.4	1321.22
354.5	1321.44
354.6	1321.65
354.7	1321.86
354.8	1322.07
354.9	1322.28
355	1322.5
355.1	1322.71
355.2	1322.92
355.3	1323.13
355.4	1323.34
355.5	1323.56
355.6	1323.77
355.7	1323.98
355.8	1324.19
355.9	1324.4
356	1324.62
356.1	1324.83
356.2	1325.04
356.3	1325.25
356.4	1325.46
356.5	1325.68
356.6	1325.89
356.7	1326.1
356.8	1326.31
356.9	1326.52
357	1326.74
357.1	1326.95
357.2	1327.16
357.3	1327.37
357.4	1327.58
357.5	1327.8
357.6	1328.01
357.7	1328.22
357.8	1328.43
357.9	1328.64
358	1328.86
358.1	1329.07
358.2	1329.28
358.3	1329.49
358.4	1329.7
358.5	1329.92
358.6	1330.13
358.7	1330.34
358.8	1330.55
358.9	1330.76
359	1330.98
359.1	1331.19
359.2	1331.4
359.3	1331.61
359.4	1331.82
359.5	1332.04
359.6	1332.25
359.7	1332.46
359.8	1332.67
359.9	1332.88
360	1333.1
360.1	1333.31
360.2	1333.52
360.3	1333.73
360.4	1333.94
360.5	1334.16
360.6	1334.37
360.7	1334.58
360.8	1334.79
360.9	1335
361	1335.22
361.1	1335.43
361.2	1335.64
361.3	1335.85
361.4	1336.06
361.5	1336.28
361.6	1336.49
361.7	1336.7
361.8	1336.91
361.9	1337.12
362	1337.34
362.1	1337.55
362.2	1337.76
362.3	1337.97
362.4	1338.18
362.5	1338.4
362.6	1338.61
362.7	1338.82
362.8	1339.03
362.9	1339.24
363	1339.46
363.1	1339.67
363.2	1339.88
363.3	1340.09
363.4	1340.3
363.5	1340.52
363.6	1340.73
363.7	1340.94
363.8	1341.15
363.9	1341.36
364	1341.58
364.1	1341.79
364.2	1342
364.3	1342.21
364.4	1342.42
364.5	1342.64
364.6	1342.85
364.7	1343.06
364.8	1343.27
364.9	1343.48
365	1343.7
365.1	1343.91
365.2	1344.12
365.3	1344.33
365.4	1344.54
365.5	1344.76
365.6	1344.97
365.7	1345.18
365.8	1345.39
365.9	1345.6
366	1345.82
366.1	1346.03
366.2	1346.24
366.3	1346.45
366.4	1346.66
366.5	1346.88
366.6	1347.09
366.7	1347.3
366.8	1347.51
366.9	1347.72
367	1347.94
367.1	1348.15
367.2	1348.36
367.3	1348.57
367.4	1348.78
367.5	1349
367.6	1349.21
367.7	1349.42
367.8	1349.63
367.9	1349.84
368	1350.06
368.1	1350.27
368.2	1350.48
368.3	1350.69
368.4	1350.9
368.5	1351.12
368.6	1351.33
368.7	1351.54
368.8	1351.75
368.9	1351.96
369	1352.18
369.1	1352.39
369.2	1352.6
369.3	1352.81
369.4	1353.02
369.5	1353.24
369.6	1353.45
369.7	1353.66
369.8	1353.87
369.9	1354.08
370	1354.3
370.1	1354.51
370.2	1354.72
370.3	1354.93
370.4	1355.14
370.5	1355.36
370.6	1355.57
370.7	1355.78
370.8	1355.99
370.9	1356.2
371	1356.42
371.1	1356.63
371.2	1356.84
371.3	1357.05
371.4	1357.26
371.5	1357.48
371.6	1357.69
371.7	1357.9
371.8	1358.11
371.9	1358.32
372	1358.54
372.1	1358.75
372.2	1358.96
372.3	1359.17
372.4	1359.38
372.5	1359.6
372.6	1359.81
372.7	1360.02
372.8	1360.23
372.9	1360.44
373	1360.66
373.1	1360.87
373.2	1361.08
373.3	1361.29
373.4	1361.5
373.5	1361.72
373.6	1361.93
373.7	1362.14
373.8	1362.35
373.9	1362.56
374	1362.78
374.1	1362.99
374.2	1363.2
374.3	1363.41
374.4	1363.62
374.5	1363.84
374.6	1364.05
374.7	1364.26
374.8	1364.47
374.9	1364.68
375	1364.9
375.1	1365.11
375.2	1365.32
375.3	1365.53
375.4	1365.74
375.5	1365.96
375.6	1366.17
375.7	1366.38
375.8	1366.59
375.9	1366.8
376	1367.02
376.1	1367.23
376.2	1367.44
376.3	1367.65
376.4	1367.86
376.5	1368.08
376.6	1368.29
376.7	1368.5
376.8	1368.71
376.9	1368.92
377	1369.14
377.1	1369.35
377.2	1369.56
377.3	1369.77
377.4	1369.98
377.5	1370.2
377.6	1370.41
377.7	1370.62
377.8	1370.83
377.9	1371.04
378	1371.26
378.1	1371.47
378.2	1371.68
378.3	1371.89
378.4	1372.1
378.5	1372.32
378.6	1372.53
378.7	1372.74
378.8	1372.95
378.9	1373.16
379	1373.38
379.1	1373.59
379.2	1373.8
379.3	1374.01
379.4	1374.22
379.5	1374.44
379.6	1374.65
379.7	1374.86
379.8	1375.07
379.9	1375.28
380	1375.5
380.1	1375.71
380.2	1375.92
380.3	1376.13
380.4	1376.34
380.5	1376.56
380.6	1376.77
380.7	1376.98
380.8	1377.19
380.9	1377.4
381	1377.62
381.1	1377.83
381.2	1378.04
381.3	1378.25
381.4	1378.46
381.5	1378.68
381.6	1378.89
381.7	1379.1
381.8	1379.31
381.9	1379.52
382	1379.74
382.1	1379.95
382.2	1380.16
382.3	1380.37
382.4	1380.58
382.5	1380.8
382.6	1381.01
382.7	1381.22
382.8	1381.43
382.9	1381.64
383	1381.86
383.1	1382.07
383.2	1382.28
383.3	1382.49
383.4	1382.7
383.5	1382.92
383.6	1383.13
383.7	1383.34
383.8	1383.55
383.9	1383.76
384	1383.98
384.1	1384.19
384.2	1384.4
384.3	1384.61
384.4	1384.82
384.5	1385.04
384.6	1385.25
384.7	1385.46
384.8	1385.67
384.9	1385.88
385	1386.1
385.1	1386.31
385.2	1386.52
385.3	1386.73
385.4	1386.94
385.5	1387.16
385.6	1387.37
385.7	1387.58
385.8	1387.79
385.9	1388
386	1388.22
386.1	1388.43
386.2	1388.64
386.3	1388.85
386.4	1389.06
386.5	1389.28
386.6	1389.49
386.7	1389.7
386.8	1389.91
386.9	1390.12
387	1390.34
387.1	1390.55
387.2	1390.76
387.3	1390.97
387.4	1391.18
387.5	1391.4
387.6	1391.61
387.7	1391.82
387.8	1392.03
387.9	1392.24
388	1392.46
388.1	1392.67
388.2	1392.88
388.3	1393.09
388.4	1393.3
388.5	1393.52
388.6	1393.73
388.7	1393.94
388.8	1394.15
388.9	1394.36
389	1394.58
389.1	1394.79
389.2	1395
389.3	1395.21
389.4	1395.42
389.5	1395.64
389.6	1395.85
389.7	1396.06
389.8	1396.27
389.9	1396.48
390	1396.7
390.1	1396.91
390.2	1397.12
390.3	1397.33
390.4	1397.54
390.5	1397.76
390.6	1397.97
390.7	1398.18
390.8	1398.39
390.9	1398.6
391	1398.82
391.1	1399.03
391.2	1399.24
391.3	1399.45
391.4	1399.66
391.5	1399.88
391.6	1400.09
391.7	1400.3
391.8	1400.51
391.9	1400.72
392	1400.94
392.1	1401.15
392.2	1401.36
