Data from https://doi.org/10.1016/j.apmt.2021.101023
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
230.22	894.01
230.23	894.06
230.24	894.11
230.25	894.16
230.26	894.21
230.27	894.25
230.28	894.3
230.29	894.35
230.3	894.4
230.31	894.45
230.32	894.5
230.33	894.54
230.34	894.59
230.35	894.64
230.36	894.69
230.37	894.74
230.38	894.78
230.39	894.83
230.4	894.88
230.41	894.93
230.42	894.98
230.43	895.03
230.44	895.07
230.45	895.12
230.46	895.17
230.47	895.22
230.48	895.27
230.49	895.32
230.5	895.36
230.51	895.41
230.52	895.46
230.53	895.51
230.54	895.56
230.55	895.6
230.56	895.65
230.57	895.7
230.58	895.75
230.59	895.8
230.6	895.85
230.61	895.89
230.62	895.94
230.63	895.99
230.64	896.04
230.65	896.09
230.66	896.14
230.67	896.18
230.68	896.23
230.69	896.28
230.7	896.33
230.71	896.38
230.72	896.42
230.73	896.47
230.74	896.52
230.75	896.57
230.76	896.62
230.77	896.67
230.78	896.71
230.79	896.76
230.8	896.81
230.81	896.86
230.82	896.91
230.83	896.96
230.84	897
230.85	897.05
230.86	897.1
230.87	897.15
230.88	897.2
230.89	897.24
230.9	897.29
230.91	897.34
230.92	897.39
230.93	897.44
230.94	897.49
230.95	897.53
230.96	897.58
230.97	897.63
230.98	897.68
230.99	897.73
231	897.77
231.01	897.82
231.02	897.87
231.03	897.92
231.04	897.97
231.05	898.02
231.06	898.06
231.07	898.11
231.08	898.16
231.09	898.21
231.1	898.26
231.11	898.31
231.12	898.35
231.13	898.4
231.14	898.45
231.15	898.5
231.16	898.55
231.17	898.59
231.18	898.64
231.19	898.69
231.2	898.74
231.21	898.79
231.22	898.84
231.23	898.88
231.24	898.93
231.25	898.98
231.26	899.03
231.27	899.08
231.28	899.13
231.29	899.17
231.3	899.22
231.31	899.27
231.32	899.32
231.33	899.37
231.34	899.41
231.35	899.46
231.36	899.51
231.37	899.56
231.38	899.61
231.39	899.66
231.4	899.7
231.41	899.75
231.42	899.8
231.43	899.85
231.44	899.9
231.45	899.95
231.46	899.99
231.47	900.04
231.48	900.09
231.49	900.14
231.5	900.19
231.51	900.23
231.52	900.28
231.53	900.33
231.54	900.38
231.55	900.43
231.56	900.48
231.57	900.52
231.58	900.57
231.59	900.62
231.6	900.67
231.61	900.72
231.62	900.76
231.63	900.81
231.64	900.86
231.65	900.91
231.66	900.96
231.67	901.01
231.68	901.05
231.69	901.1
231.7	901.15
231.71	901.2
231.72	901.25
231.73	901.3
231.74	901.34
231.75	901.39
231.76	901.44
231.77	901.49
231.78	901.54
231.79	901.58
231.8	901.63
231.81	901.68
231.82	901.73
231.83	901.78
231.84	901.83
231.85	901.87
231.86	901.92
231.87	901.97
231.88	902.02
231.89	902.07
231.9	902.12
231.91	902.16
231.92	902.21
231.93	902.26
231.94	902.31
231.95	902.36
231.96	902.4
231.97	902.45
231.98	902.5
231.99	902.55
232	902.6
232.01	902.65
232.02	902.69
232.03	902.74
232.04	902.79
232.05	902.84
232.06	902.89
232.07	902.94
232.08	902.98
232.09	903.03
232.1	903.08
232.11	903.13
232.12	903.18
232.13	903.22
232.14	903.27
232.15	903.32
232.16	903.37
232.17	903.42
232.18	903.47
232.19	903.51
232.2	903.56
232.21	903.61
232.22	903.66
232.23	903.71
232.24	903.76
232.25	903.8
232.26	903.85
232.27	903.9
232.28	903.95
232.29	904
232.3	904.04
232.31	904.09
232.32	904.14
232.33	904.19
232.34	904.24
232.35	904.29
232.36	904.33
232.37	904.38
232.38	904.43
232.39	904.48
232.4	904.53
232.41	904.57
232.42	904.62
232.43	904.67
232.44	904.72
232.45	904.77
232.46	904.82
232.47	904.86
232.48	904.91
232.49	904.96
232.5	905.01
232.51	905.06
232.52	905.11
232.53	905.15
232.54	905.2
232.55	905.25
232.56	905.3
232.57	905.35
232.58	905.39
232.59	905.44
232.6	905.49
232.61	905.54
232.62	905.59
232.63	905.64
232.64	905.68
232.65	905.73
232.66	905.78
232.67	905.83
232.68	905.88
232.69	905.93
232.7	905.97
232.71	906.02
232.72	906.07
232.73	906.12
232.74	906.17
232.75	906.21
232.76	906.26
232.77	906.31
232.78	906.36
232.79	906.41
232.8	906.46
232.81	906.5
232.82	906.55
232.83	906.6
232.84	906.65
232.85	906.7
232.86	906.75
232.87	906.79
232.88	906.84
232.89	906.89
232.9	906.94
232.91	906.99
232.92	907.03
232.93	907.08
232.94	907.13
232.95	907.18
232.96	907.23
232.97	907.28
232.98	907.32
232.99	907.37
233	907.42
233.01	907.47
233.02	907.52
233.03	907.56
233.04	907.61
233.05	907.66
233.06	907.71
233.07	907.76
233.08	907.81
233.09	907.85
233.1	907.9
233.11	907.95
233.12	908
233.13	908.05
233.14	908.1
233.15	908.14
233.16	908.19
233.17	908.24
233.18	908.29
233.19	908.34
233.2	908.38
233.21	908.43
233.22	908.48
233.23	908.53
233.24	908.58
233.25	908.63
233.26	908.67
233.27	908.72
233.28	908.77
233.29	908.82
233.3	908.87
233.31	908.92
233.32	908.96
233.33	909.01
233.34	909.06
233.35	909.11
233.36	909.16
233.37	909.2
233.38	909.25
233.39	909.3
233.4	909.35
233.41	909.4
233.42	909.45
233.43	909.49
233.44	909.54
233.45	909.59
233.46	909.64
233.47	909.69
233.48	909.74
233.49	909.78
233.5	909.83
233.51	909.88
233.52	909.93
233.53	909.98
233.54	910.02
233.55	910.07
233.56	910.12
233.57	910.17
233.58	910.22
233.59	910.27
233.6	910.31
233.61	910.36
233.62	910.41
233.63	910.46
233.64	910.51
233.65	910.56
233.66	910.6
233.67	910.65
233.68	910.7
233.69	910.75
233.7	910.8
233.71	910.84
233.72	910.89
233.73	910.94
233.74	910.99
233.75	911.04
233.76	911.09
233.77	911.13
233.78	911.18
233.79	911.23
233.8	911.28
233.81	911.33
233.82	911.37
233.83	911.42
233.84	911.47
233.85	911.52
233.86	911.57
233.87	911.62
233.88	911.66
233.89	911.71
233.9	911.76
233.91	911.81
233.92	911.86
233.93	911.91
233.94	911.95
233.95	912
233.96	912.05
233.97	912.1
233.98	912.15
233.99	912.19
234	912.24
234.01	912.29
234.02	912.34
234.03	912.39
234.04	912.44
234.05	912.48
234.06	912.53
234.07	912.58
234.08	912.63
234.09	912.68
234.1	912.73
234.11	912.77
234.12	912.82
234.13	912.87
234.14	912.92
234.15	912.97
234.16	913.01
234.17	913.06
234.18	913.11
234.19	913.16
234.2	913.21
234.21	913.26
234.22	913.3
234.23	913.35
234.24	913.4
234.25	913.45
234.26	913.5
234.27	913.55
234.28	913.59
234.29	913.64
234.3	913.69
234.31	913.74
234.32	913.79
234.33	913.83
234.34	913.88
234.35	913.93
234.36	913.98
234.37	914.03
234.38	914.08
234.39	914.12
234.4	914.17
234.41	914.22
234.42	914.27
234.43	914.32
234.44	914.36
234.45	914.41
234.46	914.46
234.47	914.51
234.48	914.56
234.49	914.61
234.5	914.65
234.51	914.7
234.52	914.75
234.53	914.8
234.54	914.85
234.55	914.9
234.56	914.94
234.57	914.99
234.58	915.04
234.59	915.09
234.6	915.14
234.61	915.18
234.62	915.23
234.63	915.28
234.64	915.33
234.65	915.38
234.66	915.43
234.67	915.47
234.68	915.52
234.69	915.57
234.7	915.62
234.71	915.67
234.72	915.72
234.73	915.76
234.74	915.81
234.75	915.86
234.76	915.91
234.77	915.96
234.78	916
234.79	916.05
234.8	916.1
234.81	916.15
234.82	916.2
234.83	916.25
234.84	916.29
234.85	916.34
234.86	916.39
234.87	916.44
234.88	916.49
234.89	916.54
234.9	916.58
234.91	916.63
234.92	916.68
234.93	916.73
234.94	916.78
234.95	916.82
234.96	916.87
234.97	916.92
234.98	916.97
234.99	917.02
235	917.07
235.01	917.11
235.02	917.16
235.03	917.21
235.04	917.26
235.05	917.31
235.06	917.36
235.07	917.4
235.08	917.45
235.09	917.5
235.1	917.55
235.11	917.6
235.12	917.64
235.13	917.69
235.14	917.74
235.15	917.79
235.16	917.84
235.17	917.89
235.18	917.93
235.19	917.98
235.2	918.03
235.21	918.08
235.22	918.13
235.23	918.17
235.24	918.22
235.25	918.27
235.26	918.32
235.27	918.37
235.28	918.42
235.29	918.46
235.3	918.51
235.31	918.56
235.32	918.61
235.33	918.66
235.34	918.71
235.35	918.75
235.36	918.8
235.37	918.85
235.38	918.9
235.39	918.95
235.4	918.99
235.41	919.04
235.42	919.09
235.43	919.14
235.44	919.19
235.45	919.24
235.46	919.28
235.47	919.33
235.48	919.38
235.49	919.43
235.5	919.48
235.51	919.53
235.52	919.57
235.53	919.62
235.54	919.67
235.55	919.72
235.56	919.77
235.57	919.81
235.58	919.86
235.59	919.91
235.6	919.96
235.61	920.01
235.62	920.06
235.63	920.1
235.64	920.15
235.65	920.2
235.66	920.25
235.67	920.3
235.68	920.35
235.69	920.39
235.7	920.44
235.71	920.49
235.72	920.54
235.73	920.59
235.74	920.63
235.75	920.68
235.76	920.73
235.77	920.78
235.78	920.83
235.79	920.88
235.8	920.92
235.81	920.97
235.82	921.02
235.83	921.07
235.84	921.12
235.85	921.16
235.86	921.21
235.87	921.26
235.88	921.31
235.89	921.36
235.9	921.41
235.91	921.45
235.92	921.5
235.93	921.55
235.94	921.6
235.95	921.65
235.96	921.7
235.97	921.74
235.98	921.79
235.99	921.84
236	921.89
236.01	921.94
236.02	921.98
236.03	922.03
236.04	922.08
236.05	922.13
236.06	922.18
236.07	922.23
236.08	922.27
236.09	922.32
236.1	922.37
236.11	922.42
236.12	922.47
236.13	922.52
236.14	922.56
236.15	922.61
236.16	922.66
236.17	922.71
236.18	922.76
236.19	922.8
236.2	922.85
236.21	922.9
236.22	922.95
236.23	923
236.24	923.05
236.25	923.09
236.26	923.14
236.27	923.19
236.28	923.24
236.29	923.29
236.3	923.34
236.31	923.38
236.32	923.43
236.33	923.48
236.34	923.53
236.35	923.58
236.36	923.62
236.37	923.67
236.38	923.72
236.39	923.77
236.4	923.82
236.41	923.87
236.42	923.91
236.43	923.96
236.44	924.01
236.45	924.06
236.46	924.11
236.47	924.16
236.48	924.2
236.49	924.25
236.5	924.3
236.51	924.35
236.52	924.4
236.53	924.44
236.54	924.49
236.55	924.54
236.56	924.59
236.57	924.64
236.58	924.69
236.59	924.73
236.6	924.78
236.61	924.83
236.62	924.88
236.63	924.93
236.64	924.97
236.65	925.02
236.66	925.07
236.67	925.12
236.68	925.17
236.69	925.22
236.7	925.26
236.71	925.31
236.72	925.36
236.73	925.41
236.74	925.46
236.75	925.51
236.76	925.55
236.77	925.6
236.78	925.65
236.79	925.7
236.8	925.75
236.81	925.79
236.82	925.84
236.83	925.89
236.84	925.94
236.85	925.99
236.86	926.04
236.87	926.08
236.88	926.13
236.89	926.18
236.9	926.23
236.91	926.28
236.92	926.33
236.93	926.37
236.94	926.42
236.95	926.47
236.96	926.52
236.97	926.57
236.98	926.61
236.99	926.66
237	926.71
237.01	926.76
237.02	926.81
237.03	926.86
237.04	926.9
237.05	926.95
237.06	927
237.07	927.05
237.08	927.1
237.09	927.15
237.1	927.19
237.11	927.24
237.12	927.29
237.13	927.34
237.14	927.39
237.15	927.43
237.16	927.48
237.17	927.53
237.18	927.58
237.19	927.63
237.2	927.68
237.21	927.72
237.22	927.77
237.23	927.82
237.24	927.87
237.25	927.92
237.26	927.96
237.27	928.01
237.28	928.06
237.29	928.11
237.3	928.16
