Data from https://doi.org/10.1038/s41467-019-09730-9
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
350.82	2586.89
350.8	2586.86
350.78	2586.85
350.77	2586.84
350.75	2586.82
350.73	2586.81
350.72	2586.8
350.7	2586.79
350.68	2586.76
350.67	2586.75
350.65	2586.72
350.63	2586.69
350.62	2586.65
350.6	2586.61
350.58	2586.57
350.57	2586.51
350.55	2586.46
350.53	2586.41
350.52	2586.37
350.5	2586.33
350.48	2586.31
350.47	2586.31
350.45	2586.29
350.44	2586.25
350.42	2586.21
350.4	2586.15
350.39	2586.08
350.37	2586.02
350.35	2585.91
350.34	2585.82
350.32	2585.76
350.3	2585.71
350.29	2585.67
350.27	2585.64
350.25	2585.6
350.24	2585.57
350.22	2585.54
350.2	2585.53
350.19	2585.5
350.17	2585.47
350.15	2585.42
350.14	2585.38
350.12	2585.33
350.1	2585.29
350.09	2585.25
350.07	2585.23
350.05	2585.22
350.04	2585.22
350.02	2585.21
350	2585.19
349.99	2585.15
349.97	2585.1
349.95	2585.04
349.94	2584.97
349.92	2584.88
349.9	2584.79
349.89	2584.73
349.87	2584.66
349.85	2584.61
349.84	2584.55
349.82	2584.48
349.81	2584.4
349.79	2584.33
349.77	2584.3
349.75	2584.26
349.74	2584.23
349.72	2584.2
349.7	2584.19
349.69	2584.15
349.67	2584.12
349.66	2584.1
349.64	2584.05
349.62	2584
349.61	2583.96
349.59	2583.93
349.57	2583.88
349.56	2583.85
349.54	2583.83
349.52	2583.93
349.51	2583.89
349.49	2583.82
349.47	2583.76
349.46	2583.7
349.44	2583.65
349.42	2583.64
349.41	2583.61
349.39	2583.56
349.37	2583.53
349.36	2583.51
349.34	2583.48
349.32	2583.44
349.31	2583.38
349.29	2583.32
349.27	2583.26
349.26	2583.18
349.24	2583.11
349.22	2583.05
349.21	2582.97
349.19	2582.91
349.17	2582.87
349.16	2582.81
349.14	2582.78
349.13	2582.75
349.11	2582.73
349.09	2582.72
349.07	2582.68
349.06	2582.65
349.04	2582.63
349.03	2582.6
349.01	2582.58
348.99	2582.57
348.98	2582.55
348.96	2582.5
348.94	2582.45
348.92	2582.36
348.91	2582.28
348.89	2582.15
348.88	2582.04
348.86	2581.95
348.84	2581.89
348.83	2581.82
348.81	2581.77
348.79	2581.74
348.78	2581.7
348.76	2581.66
348.74	2581.61
348.73	2581.54
348.71	2581.47
348.69	2581.38
348.68	2581.31
348.66	2581.24
348.64	2581.17
348.63	2581.09
348.61	2581.01
348.59	2580.94
348.58	2580.88
348.56	2580.85
348.54	2580.82
348.53	2580.79
348.51	2580.76
348.49	2580.73
348.48	2580.69
348.46	2580.67
348.44	2580.63
348.43	2580.55
348.41	2580.44
348.39	2580.3
348.38	2580.04
348.36	2579.85
348.34	2579.72
348.33	2579.61
348.31	2579.52
348.3	2579.46
348.28	2579.41
348.26	2579.37
348.24	2579.32
348.23	2579.3
348.21	2579.26
348.19	2579.22
348.18	2579.18
348.16	2579.11
348.15	2579.04
348.13	2578.97
348.11	2578.93
348.1	2578.87
348.08	2578.79
348.06	2578.7
348.05	2578.62
348.03	2578.53
348.01	2578.46
348	2578.39
347.98	2578.32
347.96	2578.27
347.95	2578.22
347.93	2578.18
347.91	2578.15
347.9	2578.09
347.88	2578.01
347.86	2577.94
347.85	2577.86
347.83	2577.78
347.81	2577.69
347.8	2577.6
347.78	2577.5
347.76	2577.41
347.75	2577.32
347.73	2577.25
347.71	2577.18
347.7	2577.11
347.68	2577.07
347.66	2577.01
347.65	2576.96
347.63	2576.9
347.61	2576.85
347.6	2576.8
347.58	2576.76
347.56	2576.7
347.55	2576.62
347.53	2576.55
347.52	2576.47
347.5	2576.4
347.48	2576.31
347.46	2576.23
347.45	2576.15
347.43	2576.07
347.42	2576.02
347.4	2575.98
347.38	2575.94
347.37	2575.91
347.35	2575.86
347.33	2575.8
347.32	2575.75
347.3	2575.69
347.28	2575.61
347.27	2575.52
347.25	2575.44
347.23	2575.35
347.22	2575.28
347.2	2575.19
347.18	2575.11
347.17	2575.03
347.15	2574.95
347.13	2574.88
347.12	2574.78
347.1	2574.67
347.08	2574.56
347.07	2574.45
347.05	2574.36
347.03	2574.3
347.02	2574.23
347	2574.17
346.98	2574.14
346.97	2574.07
346.95	2574.01
346.93	2573.94
346.92	2573.87
346.9	2573.79
346.88	2573.71
346.87	2573.65
346.85	2573.6
346.83	2573.57
346.82	2573.56
346.8	2573.55
346.78	2573.5
346.77	2573.45
346.75	2573.36
346.73	2573.29
346.72	2573.2
346.7	2573.11
346.68	2573.05
346.67	2572.97
346.65	2572.92
346.63	2572.88
346.62	2572.83
346.6	2572.78
346.58	2572.73
346.57	2572.65
346.55	2572.59
346.53	2572.5
346.52	2572.39
346.5	2572.28
346.48	2572.14
346.47	2572.02
346.45	2571.93
346.44	2571.88
346.42	2571.86
346.4	2571.83
346.39	2571.84
346.37	2571.88
346.35	2571.96
346.34	2571.98
346.32	2572
346.3	2571.97
346.28	2571.9
346.27	2571.81
346.25	2571.62
346.24	2571.45
346.22	2571.2
346.2	2571
346.19	2570.76
346.17	2570.63
346.15	2570.52
346.14	2570.43
346.12	2570.36
346.1	2570.29
346.09	2570.26
346.07	2570.23
346.05	2570.2
346.04	2570.16
346.02	2570.1
346	2570.04
345.99	2569.99
345.97	2569.94
345.95	2569.9
345.94	2569.83
345.92	2569.79
345.9	2569.74
345.89	2569.74
345.87	2569.72
345.85	2569.65
345.84	2569.56
345.82	2569.44
345.8	2569.32
345.79	2569.15
345.77	2569.01
345.76	2568.9
345.74	2568.82
345.72	2568.74
345.7	2568.67
345.69	2568.62
345.67	2568.58
345.65	2568.53
345.64	2568.48
345.62	2568.4
345.6	2568.32
345.59	2568.24
345.57	2568.15
345.56	2568.05
345.54	2567.96
345.52	2567.87
345.51	2567.82
345.49	2567.75
345.47	2567.67
345.46	2567.58
345.44	2567.51
345.42	2567.44
345.41	2567.38
345.39	2567.31
345.37	2567.24
345.36	2567.18
345.34	2567.12
345.32	2567.08
345.31	2567.03
345.29	2566.99
345.27	2566.94
345.26	2566.89
345.24	2566.84
345.22	2566.78
345.21	2566.71
345.19	2566.65
345.17	2566.56
345.16	2566.48
345.14	2566.38
345.12	2566.29
345.11	2566.24
345.09	2566.17
345.07	2566.1
345.06	2566.04
345.04	2565.97
345.02	2565.9
345.01	2565.85
344.99	2565.78
344.97	2565.71
344.96	2565.61
344.94	2565.51
344.92	2565.44
344.91	2565.35
344.89	2565.28
344.87	2565.22
344.86	2565.16
344.84	2565.11
344.82	2565.04
344.81	2564.96
344.79	2564.9
344.77	2564.84
344.76	2564.78
344.74	2564.71
344.73	2564.64
