Data from https://doi.org/10.1039/D0TA05399F
Upon heating
Temperature(K)	Heat capacity(J/kg/K)
158.73	278.49
158.74	278.53
158.75	278.57
158.76	278.61
158.77	278.64
158.78	278.68
158.79	278.72
158.8	278.76
158.81	278.79
158.82	278.83
158.83	278.87
158.84	278.91
158.85	278.94
158.86	278.98
158.87	279.02
158.88	279.06
158.89	279.09
158.9	279.13
158.91	279.17
158.92	279.2
158.93	279.24
158.94	279.28
158.95	279.32
158.96	279.35
158.97	279.39
158.98	279.43
158.99	279.47
159	279.5
159.01	279.54
159.02	279.58
159.03	279.62
159.04	279.65
159.05	279.69
159.06	279.73
159.07	279.77
159.08	279.8
159.09	279.84
159.1	279.88
159.11	279.91
159.12	279.95
159.13	279.99
159.14	280.03
159.15	280.06
159.16	280.1
159.17	280.14
159.18	280.18
159.19	280.21
159.2	280.25
159.21	280.29
159.22	280.33
159.23	280.36
159.24	280.4
159.25	280.44
159.26	280.48
159.27	280.51
159.28	280.55
159.29	280.59
159.3	280.63
159.31	280.66
159.32	280.7
159.33	280.74
159.34	280.77
159.35	280.81
159.36	280.85
159.37	280.89
159.38	280.92
159.39	280.96
159.4	281
159.41	281.04
159.42	281.07
159.43	281.11
159.44	281.15
159.45	281.19
159.46	281.22
159.47	281.26
159.48	281.3
159.49	281.34
159.5	281.37
159.51	281.41
159.52	281.45
159.53	281.48
159.54	281.52
159.55	281.56
159.56	281.6
159.57	281.63
159.58	281.67
159.59	281.71
159.6	281.75
159.61	281.78
159.62	281.82
159.63	281.86
159.64	281.9
159.65	281.93
159.66	281.97
159.67	282.01
159.68	282.05
159.69	282.08
159.7	282.12
159.71	282.16
159.72	282.2
159.73	282.23
159.74	282.27
159.75	282.31
159.76	282.34
159.77	282.38
159.78	282.42
159.79	282.46
159.8	282.49
159.81	282.53
159.82	282.57
159.83	282.61
159.84	282.64
159.85	282.68
159.86	282.72
159.87	282.76
159.88	282.79
159.89	282.83
159.9	282.87
159.91	282.91
159.92	282.94
159.93	282.98
159.94	283.02
159.95	283.05
159.96	283.09
159.97	283.13
159.98	283.17
159.99	283.2
160	283.24
160.01	283.28
160.02	283.32
160.03	283.35
160.04	283.39
160.05	283.43
160.06	283.47
160.07	283.5
160.08	283.54
160.09	283.58
160.1	283.62
160.11	283.65
160.12	283.69
160.13	283.73
160.14	283.77
160.15	283.8
160.16	283.84
160.17	283.88
160.18	283.91
160.19	283.95
160.2	283.99
160.21	284.03
160.22	284.06
160.23	284.1
160.24	284.14
160.25	284.18
160.26	284.21
160.27	284.25
160.28	284.29
160.29	284.33
160.3	284.36
160.31	284.4
160.32	284.44
160.33	284.48
160.34	284.51
160.35	284.55
160.36	284.59
160.37	284.62
160.38	284.66
160.39	284.7
160.4	284.74
160.41	284.77
160.42	284.81
160.43	284.85
160.44	284.89
160.45	284.92
160.46	284.96
160.47	285
160.48	285.04
160.49	285.07
160.5	285.11
160.51	285.15
160.52	285.19
160.53	285.22
160.54	285.26
160.55	285.3
160.56	285.34
160.57	285.37
160.58	285.41
160.59	285.45
160.6	285.48
160.61	285.52
160.62	285.56
160.63	285.6
160.64	285.63
160.65	285.67
160.66	285.71
160.67	285.75
160.68	285.78
160.69	285.82
160.7	285.86
160.71	285.9
160.72	285.93
160.73	285.97
160.74	286.01
160.75	286.05
160.76	286.08
160.77	286.12
160.78	286.16
160.79	286.2
160.8	286.23
160.81	286.27
160.82	286.31
160.83	286.34
160.84	286.38
160.85	286.42
160.86	286.46
160.87	286.49
160.88	286.53
160.89	286.57
160.9	286.61
160.91	286.64
160.92	286.68
160.93	286.72
160.94	286.76
160.95	286.79
160.96	286.83
160.97	286.87
160.98	286.91
160.99	286.94
161	286.98
161.01	287.02
161.02	287.06
161.03	287.09
161.04	287.13
161.05	287.17
161.06	287.2
161.07	287.24
161.08	287.28
161.09	287.32
161.1	287.35
161.11	287.39
161.12	287.43
161.13	287.47
161.14	287.5
161.15	287.54
161.16	287.58
161.17	287.62
161.18	287.65
161.19	287.69
161.2	287.73
161.21	287.77
161.22	287.8
161.23	287.84
161.24	287.88
161.25	287.92
161.26	287.95
161.27	287.99
161.28	288.03
161.29	288.06
161.3	288.1
161.31	288.14
161.32	288.18
161.33	288.21
161.34	288.25
161.35	288.29
161.36	288.33
161.37	288.36
161.38	288.4
161.39	288.44
161.4	288.48
161.41	288.51
161.42	288.55
161.43	288.59
161.44	288.63
161.45	288.66
161.46	288.7
161.47	288.74
161.48	288.78
161.49	288.81
161.5	288.85
161.51	288.89
161.52	288.92
161.53	288.96
161.54	289
161.55	289.04
161.56	289.07
161.57	289.11
161.58	289.15
161.59	289.19
161.6	289.22
161.61	289.26
161.62	289.3
161.63	289.34
161.64	289.37
161.65	289.41
161.66	289.45
161.67	289.49
161.68	289.52
161.69	289.56
161.7	289.6
161.71	289.63
161.72	289.67
161.73	289.71
161.74	289.75
161.75	289.78
161.76	289.82
161.77	289.86
161.78	289.9
161.79	289.93
161.8	289.97
161.81	290.01
161.82	290.05
161.83	290.08
161.84	290.12
161.85	290.16
161.86	290.2
161.87	290.23
161.88	290.27
161.89	290.31
161.9	290.35
161.91	290.38
161.92	290.42
161.93	290.46
161.94	290.49
161.95	290.53
161.96	290.57
