Data from https://doi.org/10.1002/adma.201903577
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
181.93	359.17
181.96	359.17
181.99	359.16
182.03	359.12
182.06	359.12
182.1	359.14
182.13	359.17
182.16	359.2
182.19	359.23
182.23	359.25
182.26	359.28
182.3	359.28
182.33	359.28
182.36	359.29
182.4	359.32
182.43	359.35
182.46	359.38
182.5	359.43
182.53	359.5
182.56	359.58
182.6	359.65
182.63	359.72
182.67	359.78
182.7	359.82
182.73	359.87
182.77	359.91
182.8	359.92
182.83	359.92
182.86	359.97
182.9	360.04
182.93	360.11
182.96	360.16
183	360.11
183.03	359.96
183.06	359.81
183.1	359.74
183.13	359.73
183.16	359.72
183.2	359.68
183.23	359.66
183.26	359.7
183.3	359.76
183.33	359.83
183.36	359.89
183.4	359.97
183.43	360.06
183.46	360.13
183.5	360.19
183.53	360.25
183.57	360.31
183.6	360.38
183.63	360.45
183.67	360.53
183.7	360.63
183.73	360.72
183.77	360.8
183.8	360.84
183.83	360.83
183.87	360.8
183.9	360.81
183.93	360.85
183.97	360.83
184	360.69
184.03	360.54
184.06	360.48
184.1	360.5
184.13	360.53
184.17	360.58
184.2	360.62
184.24	360.64
184.27	360.65
184.3	360.67
184.33	360.71
184.37	360.75
184.4	360.79
184.44	360.83
184.47	360.87
184.5	360.92
184.53	360.97
184.57	360.99
184.6	360.98
184.63	360.97
184.67	361.01
184.7	361.07
184.74	361.13
184.77	361.18
184.8	361.21
184.84	361.2
184.87	361.11
184.91	361.04
184.94	361.04
184.97	361.07
185	361.1
185.04	361.14
185.07	361.17
185.1	361.21
185.14	361.24
185.17	361.25
185.2	361.18
185.24	361.11
185.27	361.06
185.3	361.05
185.34	361.07
185.37	361.12
185.41	361.18
185.44	361.23
185.47	361.27
185.51	361.31
185.54	361.35
185.57	361.4
185.6	361.45
185.64	361.5
185.67	361.55
185.71	361.57
185.74	361.58
185.77	361.61
185.81	361.64
185.84	361.69
185.87	361.7
185.91	361.65
185.94	361.57
185.97	361.53
186.01	361.54
186.04	361.55
186.08	361.53
186.11	361.53
186.14	361.58
186.17	361.63
186.21	361.67
186.24	361.7
186.27	361.72
186.31	361.74
186.34	361.78
186.37	361.83
186.41	361.87
186.44	361.91
186.48	361.92
186.51	361.9
186.54	361.84
186.58	361.8
186.61	361.8
186.64	361.82
186.68	361.83
186.71	361.84
186.74	361.86
186.78	361.9
186.81	361.95
186.84	362
186.88	362.04
186.91	362.09
186.95	362.14
186.98	362.2
187.01	362.25
187.04	362.3
187.08	362.35
187.11	362.39
187.14	362.42
187.18	362.43
187.21	362.43
187.24	362.4
187.28	362.37
187.31	362.36
187.34	362.36
187.38	362.36
187.41	362.36
187.44	362.39
187.48	362.43
187.51	362.48
187.55	362.52
187.58	362.57
187.61	362.61
187.65	362.66
