Data from https://doi.org/10.1002/adma.201903577
Upon heating
Temperature(K)	Heat capacity(J/kg/K)
192.85	359.37
192.88	359.15
192.91	358.48
192.95	357.49
192.98	356.62
193.02	356.25
193.05	356.23
193.08	356.32
193.11	356.45
193.15	356.54
193.18	356.52
193.21	356.51
193.25	356.52
193.28	356.57
193.31	356.64
193.35	356.73
193.38	356.83
193.42	356.92
193.45	357.01
193.48	357.09
193.51	357.17
193.55	357.25
193.58	357.35
193.61	357.46
193.65	357.55
193.68	357.62
193.71	357.63
193.75	357.62
193.78	357.68
193.81	357.82
193.85	357.98
193.88	358.14
193.91	358.29
193.95	358.43
193.98	358.53
194.01	358.51
194.05	358.4
194.08	358.31
194.11	358.23
194.15	358.14
194.18	358.07
194.21	358.04
194.25	358.05
194.28	358.1
194.31	358.15
194.35	358.21
194.38	358.29
194.41	358.41
194.45	358.59
194.48	358.76
194.51	358.87
194.55	358.9
194.58	358.88
194.61	358.83
194.65	358.78
194.68	358.78
194.71	358.82
194.74	358.87
194.78	358.89
194.81	358.82
194.85	358.69
194.88	358.59
194.92	358.54
194.95	358.54
194.98	358.53
195.01	358.43
195.05	358.31
195.08	358.25
195.11	358.25
195.15	358.26
195.18	358.28
195.21	358.32
195.25	358.38
195.28	358.42
195.31	358.36
195.35	358.14
195.38	357.86
195.41	357.67
195.45	357.59
195.48	357.59
195.51	357.61
195.55	357.63
195.58	357.64
195.61	357.5
195.65	357.12
195.68	356.69
195.71	356.42
195.75	356.35
195.78	356.43
195.81	356.5
195.85	356.51
195.88	356.52
195.91	356.56
195.95	356.64
195.98	356.71
196.01	356.77
196.05	356.83
196.08	356.89
196.11	356.95
196.15	357.02
196.18	357.07
196.21	357.1
196.25	357.12
196.28	357.19
196.31	357.27
196.35	357.35
196.38	357.43
196.41	357.52
196.45	357.59
196.48	357.67
196.51	357.74
196.55	357.82
196.58	357.9
196.61	357.98
196.65	358.05
196.68	358.12
196.71	358.2
196.75	358.26
196.78	358.31
196.81	358.32
196.85	358.24
196.88	358.05
196.92	357.8
196.95	357.63
196.98	357.69
197.01	357.94
197.05	358.11
197.08	358.07
197.11	357.74
197.15	357.29
197.18	356.99
197.22	356.91
197.25	356.91
197.28	356.92
197.31	356.96
197.35	357.02
197.38	357.06
197.42	357.04
197.45	356.92
197.48	356.76
197.51	356.63
197.55	356.53
197.58	356.45
197.61	356.38
197.65	356.17
197.68	355.74
197.71	355.29
197.75	355.08
197.78	355.06
197.81	355.1
197.85	355.16
197.88	355.22
197.91	355.26
197.95	355.3
197.98	355.34
198.02	355.36
198.05	355.42
198.08	355.57
198.11	355.74
198.15	355.86
198.18	355.92
198.21	355.94
